property_id,source,title,property_type,operation,price_mxn,built_area_m2,land_area_m2,bedrooms,bathrooms,parking_spaces,age_years,neighborhood,municipality,state,latitude,longitude,listing_date,price_per_m2,distance_to_center_km,amenities_500m,amenities_1km,schools_1km,hospitals_1km,commerce_1km,log_price_mxn,is_new_property
AGS-0017,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,3156000.0,123.5,164.5,3,2.0,2.0,1.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.92118,-102.316914,2026-05-27,25554.655870445345,5.098531234289034,1,1,0,0,1,14.964816277804632,1
AGS-0018,curated_fallback,Casa en San Cayetano,casa,venta,1207000.0,52.3,72.7,2,1.0,1.0,16.0,San Cayetano,Aguascalientes,Aguascalientes,21.887185,-102.288168,2026-05-27,23078.393881453158,0.6956610381813394,1,2,1,1,0,14.003649328579739,0
AGS-0019,curated_fallback,Casa en Trojes de Alonso,casa,venta,4349000.0,132.3,210.7,4,4.0,2.0,1.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.943986,-102.292279,2026-05-27,32872.26001511716,6.915122484762965,0,0,0,0,0,15.285456721517665,1
AGS-0020,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,4704000.0,169.3,214.1,4,3.0,2.0,5.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.927706,-102.318696,2026-05-27,27784.997046662727,5.8198313121742205,0,1,0,0,1,15.36392398114561,0
AGS-0021,curated_fallback,Casa en Rancho Santa Monica,casa,venta,2475000.0,115.6,172.0,3,2.0,1.0,8.0,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.82517,-102.324285,2026-05-27,21410.034602076124,7.143564636484255,0,0,0,0,0,14.72175135802525,0
AGS-0022,curated_fallback,Casa en Canteras de San Javier,casa,venta,1944000.0,73.8,98.7,2,2.0,1.0,32.0,Canteras de San Javier,Aguascalientes,Aguascalientes,21.895602,-102.353284,2026-05-27,26341.46341463415,6.546908346811049,0,0,0,0,0,14.48025877840568,0
AGS-0023,curated_fallback,Casa En Condominio en Morelos,casa en condominio,venta,1218000.0,55.6,73.9,2,1.0,0.0,11.0,Morelos,Aguascalientes,Aguascalientes,21.862305,-102.294673,2026-05-27,21906.474820143885,2.1908160085839716,0,0,0,0,0,14.012721548269704,0
AGS-0024,curated_fallback,Departamento en Morelos,departamento,venta,2612000.0,138.9,138.9,4,3.0,2.0,4.0,Morelos,Aguascalientes,Aguascalientes,21.857324,-102.285963,2026-05-27,18804.89560835133,2.783076803831779,0,0,0,0,0,14.775627152226777,0
AGS-0025,curated_fallback,Casa en Rancho Santa Monica,casa,venta,2796000.0,120.2,156.7,3,2.0,2.0,1.0,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.828886,-102.3333,2026-05-27,23261.231281198005,7.289677135923227,0,0,0,0,0,14.843700739989565,1
AGS-0026,curated_fallback,Departamento en Ojocaliente,departamento,venta,1731000.0,74.6,74.6,3,3.0,1.0,0.0,Ojocaliente,Aguascalientes,Aguascalientes,21.881342,-102.259012,2026-05-27,23203.753351206436,3.3629464374548492,0,0,0,0,0,14.36421041185893,1
AGS-0027,curated_fallback,Casa en Trojes de Alonso,casa,venta,4829000.0,191.2,194.4,5,3.0,2.0,12.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.941058,-102.298892,2026-05-27,25256.27615062762,6.6319911531946545,0,0,0,0,0,15.390150171937869,0
AGS-0028,curated_fallback,Casa en Centro,casa,venta,2424000.0,93.8,114.2,3,2.0,2.0,10.0,Centro,Aguascalientes,Aguascalientes,21.878939,-102.286775,2026-05-27,25842.217484008528,0.5908278039107608,0,3,1,0,1,14.700930038712512,0
AGS-0029,curated_fallback,Casa en La Rioja,casa,venta,4927000.0,215.2,305.2,5,3.0,3.0,8.0,La Rioja,Aguascalientes,Aguascalientes,21.843596,-102.353163,2026-05-27,22894.981412639405,7.642570772073304,0,0,0,0,0,15.410241044489343,0
AGS-0030,curated_fallback,Casa En Condominio en Centro,casa en condominio,venta,5048000.0,203.4,215.1,5,3.0,3.0,22.0,Centro,Aguascalientes,Aguascalientes,21.881828,-102.289187,2026-05-27,24818.092428711898,0.24900207929781115,1,3,1,0,1,15.434502881301423,0
AGS-0032,curated_fallback,Casa en Pulgas Pandas,casa,venta,3484000.0,126.6,180.5,3,2.0,2.0,2.0,Pulgas Pandas,Aguascalientes,Aguascalientes,21.916869,-102.325407,2026-05-27,27519.747235387047,5.231783557661034,0,1,0,0,0,15.063691903980896,1
AGS-0033,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,2944000.0,115.3,127.9,3,3.0,2.0,7.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.92159,-102.307127,2026-05-27,25533.391153512577,4.705512298021165,0,2,1,0,1,14.89528009850476,0
AGS-0034,curated_fallback,Casa en Centro,casa,venta,2590000.0,102.2,166.4,3,3.0,1.0,1.0,Centro,Aguascalientes,Aguascalientes,21.882391,-102.287029,2026-05-27,25342.465753424658,0.4762085899338327,1,3,1,0,1,14.767168819776032,1
AGS-0035,curated_fallback,Casa En Condominio en Villas de Nuestra Senora,casa en condominio,venta,4133000.0,205.3,214.0,5,4.0,3.0,16.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.932737,-102.235195,2026-05-27,20131.51485630784,8.120434659909465,0,0,0,0,0,15.234514335448836,0
AGS-0036,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,4782000.0,197.8,188.4,5,3.0,2.0,19.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.922395,-102.317994,2026-05-27,24175.93528816987,5.271698164044636,1,1,0,0,1,15.380369636117909,0
AGS-0037,curated_fallback,Casa en La Rioja,casa,venta,3256000.0,120.6,125.9,4,3.0,2.0,2.0,La Rioja,Aguascalientes,Aguascalientes,21.846382,-102.345878,2026-05-27,26998.341625207297,6.8472529684312695,0,0,0,0,0,14.996010313229828,1
AGS-0038,curated_fallback,Casa en Pulgas Pandas,casa,venta,2585000.0,87.5,107.0,3,2.0,1.0,6.0,Pulgas Pandas,Aguascalientes,Aguascalientes,21.902774,-102.322936,2026-05-27,29542.85714285714,3.9865156441556473,0,1,0,0,0,14.765236452771788,0
AGS-0039,curated_fallback,Casa en San Cayetano,casa,venta,3517000.0,181.6,249.6,5,4.0,3.0,11.0,San Cayetano,Aguascalientes,Aguascalientes,21.889493,-102.288017,2026-05-27,19366.74008810573,0.9318928160190284,0,2,1,1,0,15.073119195789317,0
AGS-0040,curated_fallback,Casa En Condominio en Jardines de la Concepcion,casa en condominio,venta,4874000.0,163.7,222.4,5,4.0,3.0,9.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.922367,-102.31632,2026-05-27,29773.976786805135,5.18188797233997,1,1,0,0,1,15.39942571833756,0
AGS-0041,curated_fallback,Casa en Trojes de Alonso,casa,venta,5457000.0,208.0,307.3,5,4.0,2.0,32.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.934359,-102.307996,2026-05-27,26235.576923076922,6.084152722947202,0,0,0,0,0,15.512409929419222,0
AGS-0042,curated_fallback,Casa en Bosques del Prado,casa,venta,4198000.0,140.4,210.8,4,4.0,2.0,30.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.922229,-102.299747,2026-05-27,29900.2849002849,4.573400348882105,0,0,0,0,0,15.250119017571357,0
AGS-0043,curated_fallback,Casa en Ojocaliente,casa,venta,3300000.0,176.0,179.5,5,4.0,3.0,18.0,Ojocaliente,Aguascalientes,Aguascalientes,21.870546,-102.249447,2026-05-27,18750.0,4.526112184452004,0,0,0,0,0,15.009433329466965,0
AGS-0044,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,3077000.0,112.8,108.1,3,2.0,1.0,8.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.910767,-102.319375,2026-05-27,27278.36879432624,4.311221327626664,0,1,0,0,0,14.939465979296001,0
AGS-0045,curated_fallback,Casa en San Cayetano,casa,venta,2561000.0,105.6,132.0,3,3.0,1.0,15.0,San Cayetano,Aguascalientes,Aguascalientes,21.903921,-102.291609,2026-05-27,24251.89393939394,2.4597431475800846,0,1,0,1,0,14.755908755654058,0
AGS-0046,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,2707000.0,157.2,142.2,4,3.0,3.0,31.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.92738,-102.23905,2026-05-27,17220.101781170484,7.421547626992151,0,0,0,0,0,14.811351938009004,0
AGS-0047,curated_fallback,Casa En Condominio en Villas de Nuestra Senora,casa en condominio,venta,2313000.0,104.6,132.2,3,2.0,2.0,13.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.93581,-102.235609,2026-05-27,22112.81070745698,8.332647333376173,0,0,0,0,0,14.654056373552436,0
AGS-0048,curated_fallback,Casa en Ojocaliente,casa,venta,2559000.0,140.5,167.9,4,2.0,2.0,1.0,Ojocaliente,Aguascalientes,Aguascalientes,21.874234,-102.263994,2026-05-27,18213.5231316726,2.9702074472096656,0,0,0,0,0,14.755127505919496,1
AGS-0049,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,2765000.0,92.8,102.9,3,2.0,2.0,6.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.92298,-102.322958,2026-05-27,29795.258620689656,5.606571447357989,0,1,0,0,1,14.83255155460216,0
AGS-0050,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,5125000.0,211.7,314.6,5,4.0,4.0,2.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.908408,-102.320952,2026-05-27,24208.78601794993,4.233766601155425,0,1,0,0,0,15.449641278110677,1
AGS-0051,curated_fallback,Casa en Morelos,casa,venta,3513000.0,182.5,199.3,5,4.0,3.0,13.0,Morelos,Aguascalientes,Aguascalientes,21.866556,-102.297725,2026-05-27,19249.31506849315,1.809055301118111,0,0,0,0,0,15.071981215904913,0
AGS-0052,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,2422000.0,122.9,139.3,4,4.0,2.0,13.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.92052,-102.240188,2026-05-27,19707.078925956062,6.831635799871778,0,0,0,0,0,14.700104615977006,0
AGS-0053,curated_fallback,Departamento en Bosques del Prado,departamento,venta,1641000.0,61.7,61.7,2,2.0,1.0,0.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.915055,-102.29877,2026-05-27,26596.43435980551,3.7710540918729976,0,1,1,0,0,14.310816979456565,1
AGS-0054,curated_fallback,Casa en Morelos,casa,venta,3981000.0,198.5,305.1,5,3.0,3.0,10.0,Morelos,Aguascalientes,Aguascalientes,21.867574,-102.286854,2026-05-27,20055.415617128463,1.6559342769103083,0,0,0,0,0,15.19704385317559,0
AGS-0055,curated_fallback,Casa en San Cayetano,casa,venta,2582000.0,104.0,165.3,3,2.0,2.0,9.0,San Cayetano,Aguascalientes,Aguascalientes,21.891446,-102.28709,2026-05-27,24826.923076923078,1.1691816840621163,0,1,1,0,0,14.764075237685319,0
AGS-0056,curated_fallback,Casa En Condominio en Pulgas Pandas,casa en condominio,venta,2453000.0,90.9,98.4,3,2.0,1.0,0.0,Pulgas Pandas,Aguascalientes,Aguascalientes,21.915519,-102.328763,2026-05-27,26985.698569856984,5.36271465064122,0,1,0,0,0,14.712822730904628,1
AGS-0057,curated_fallback,Casa en Pulgas Pandas,casa,venta,4945000.0,185.7,205.6,4,4.0,2.0,13.0,Pulgas Pandas,Aguascalientes,Aguascalientes,21.908272,-102.317237,2026-05-27,26628.97145934303,3.9573907259729975,0,0,0,0,0,15.413887725263399,0
AGS-0058,curated_fallback,Departamento en Morelos,departamento,venta,978000.0,45.0,45.0,2,1.0,1.0,5.0,Morelos,Aguascalientes,Aguascalientes,21.855866,-102.287721,2026-05-27,21733.333333333332,2.9113782932185495,0,0,0,0,0,13.79326597151132,0
AGS-0059,curated_fallback,Casa en Ojocaliente,casa,venta,1568000.0,76.0,87.2,3,2.0,1.0,1.0,Ojocaliente,Aguascalientes,Aguascalientes,21.868852,-102.262609,2026-05-27,20631.57894736842,3.319968376751577,0,0,0,0,0,14.265312117647388,1
AGS-0060,curated_fallback,Casa en San Cayetano,casa,venta,3254000.0,169.4,179.9,4,3.0,3.0,7.0,San Cayetano,Aguascalientes,Aguascalientes,21.89066,-102.289989,2026-05-27,19208.97284533648,0.9991115804123933,0,2,1,1,0,14.995395874075149,0
AGS-0061,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,2707000.0,116.7,116.2,3,2.0,1.0,29.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.920757,-102.308944,2026-05-27,23196.229648671808,4.68684738515742,0,2,1,0,1,14.811351938009004,0
AGS-0062,curated_fallback,Casa en Centro,casa,venta,4781000.0,200.4,250.9,5,3.0,2.0,28.0,Centro,Aguascalientes,Aguascalientes,21.883255,-102.285158,2026-05-27,23857.285429141717,0.6841132535860475,1,2,1,0,0,15.380160496769482,0
AGS-0063,curated_fallback,Casa en Bosques del Prado,casa,venta,3697000.0,128.6,194.0,4,2.0,2.0,8.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.912723,-102.300077,2026-05-27,28748.05598755832,3.5479663876142613,0,1,1,0,0,15.123032508408318,0
AGS-0064,curated_fallback,Casa en Ojocaliente,casa,venta,1990000.0,115.8,183.1,3,2.0,2.0,8.0,Ojocaliente,Aguascalientes,Aguascalientes,21.866205,-102.245798,2026-05-27,17184.801381692574,5.034364018082761,0,1,0,1,0,14.503645699213111,0
AGS-0065,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,3354000.0,136.4,147.3,4,2.0,2.0,12.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.917398,-102.323347,2026-05-27,24589.442815249266,5.137734375539961,0,1,0,0,0,15.025664519516708,0
AGS-0066,curated_fallback,Departamento en Pulgas Pandas,departamento,venta,3015000.0,99.2,99.2,3,2.0,2.0,16.0,Pulgas Pandas,Aguascalientes,Aguascalientes,21.911001,-102.319176,2026-05-27,30393.145161290322,4.317135658361903,0,1,0,0,0,14.919110719818326,0
AGS-0067,curated_fallback,Casa en La Rioja,casa,venta,3273000.0,141.8,155.8,3,2.0,2.0,9.0,La Rioja,Aguascalientes,Aguascalientes,21.851485,-102.335576,2026-05-27,23081.805359661492,5.653061040774178,0,1,1,0,0,15.001217859013366,0
AGS-0068,curated_fallback,Departamento en Rancho Santa Monica,departamento,venta,2644000.0,105.6,105.6,3,3.0,2.0,7.0,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.825609,-102.338203,2026-05-27,25037.878787878788,7.884916352964596,0,0,0,0,0,14.787803858168468,0
AGS-0069,curated_fallback,Casa en Canteras de San Javier,casa,venta,4638000.0,167.9,236.0,5,4.0,2.0,14.0,Canteras de San Javier,Aguascalientes,Aguascalientes,21.910428,-102.345475,2026-05-27,27623.5854675402,6.405461427339955,0,0,0,0,0,15.349794012407768,0
AGS-0070,curated_fallback,Casa en Trojes de Alonso,casa,venta,3828000.0,142.9,198.4,4,2.0,2.0,10.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.933835,-102.307175,2026-05-27,26787.963610916722,6.0049904942294665,0,0,0,0,0,15.157853292787967,0
AGS-0071,curated_fallback,Casa en Canteras de San Javier,casa,venta,3649000.0,157.7,190.6,4,3.0,2.0,14.0,Canteras de San Javier,Aguascalientes,Aguascalientes,21.894734,-102.355239,2026-05-27,23138.871274571975,6.7218779630740935,0,0,0,0,0,15.109963989466232,0
AGS-0072,curated_fallback,Casa En Condominio en Bosques del Prado,casa en condominio,venta,4578000.0,153.2,184.3,4,4.0,2.0,8.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.912665,-102.308248,2026-05-27,29882.506527415146,3.8378449915906505,1,1,1,0,0,15.336772997930623,0
AGS-0073,curated_fallback,Casa en Rancho Santa Monica,casa,venta,3221000.0,139.8,183.4,4,3.0,2.0,1.0,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.843463,-102.326823,2026-05-27,23040.05722460658,5.602221189039411,0,1,1,0,0,14.985202738775877,1
AGS-0074,curated_fallback,Casa en Trojes de Alonso,casa,venta,2701000.0,109.7,99.9,3,2.0,2.0,1.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.942941,-102.296046,2026-05-27,24621.69553327256,6.814022808399118,0,0,0,0,0,14.809133003007931,1
AGS-0075,curated_fallback,Casa en San Cayetano,casa,venta,2382000.0,126.0,159.0,3,2.0,1.0,2.0,San Cayetano,Aguascalientes,Aguascalientes,21.896988,-102.277074,2026-05-27,18904.761904761905,2.257974736781612,0,0,0,0,0,14.683451448712576,1
AGS-0076,curated_fallback,Casa en Bosques del Prado,casa,venta,2851000.0,96.2,143.5,3,3.0,2.0,17.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.910057,-102.306029,2026-05-27,29636.174636174634,3.4768648194675476,1,1,1,0,0,14.863180718648868,0
AGS-0077,curated_fallback,Casa en Morelos,casa,venta,3362000.0,169.1,195.9,4,3.0,2.0,4.0,Morelos,Aguascalientes,Aguascalientes,21.854773,-102.28705,2026-05-27,19881.72678888232,3.0417229926845843,0,0,0,0,0,15.028046890392652,0
AGS-0078,curated_fallback,Departamento en Jardines de la Concepcion,departamento,venta,3665000.0,124.0,124.0,3,2.0,2.0,24.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.915625,-102.304232,2026-05-27,29556.451612903227,3.9805633128860003,1,1,1,0,0,15.114339166154148,0
AGS-0079,curated_fallback,Casa En Condominio en Morelos,casa en condominio,venta,3185000.0,126.5,161.5,4,4.0,2.0,6.0,Morelos,Aguascalientes,Aguascalientes,21.861519,-102.291861,2026-05-27,25177.86561264822,2.255305129626198,0,0,0,0,0,14.973963160960094,0
AGS-0080,curated_fallback,Casa En Condominio en La Rioja,casa en condominio,venta,3627000.0,138.3,225.1,3,3.0,2.0,10.0,La Rioja,Aguascalientes,Aguascalientes,21.84295,-102.352394,2026-05-27,26225.59652928416,7.617247553840997,0,0,0,0,0,15.103916693974954,0
AGS-0081,curated_fallback,Departamento en Morelos,departamento,venta,1391000.0,55.3,55.3,2,2.0,2.0,0.0,Morelos,Aguascalientes,Aguascalientes,21.852368,-102.288377,2026-05-27,25153.70705244123,3.289546141829968,0,0,0,0,0,14.145534189812583,1
AGS-0082,curated_fallback,Departamento en Jardines de la Concepcion,departamento,venta,3297000.0,107.1,107.1,3,2.0,2.0,21.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.916874,-102.31012,2026-05-27,30784.3137254902,4.342958149880271,1,2,1,0,1,15.008523825359857,0
AGS-0083,curated_fallback,Casa en Centro,casa,venta,4150000.0,175.1,214.2,4,3.0,3.0,2.0,Centro,Aguascalientes,Aguascalientes,21.877201,-102.28941,2026-05-27,23700.742432895488,0.5590888802703285,0,3,1,0,1,15.238619133170708,1
AGS-0084,curated_fallback,Casa en Morelos,casa,venta,3447000.0,151.7,240.3,4,3.0,2.0,3.0,Morelos,Aguascalientes,Aguascalientes,21.851188,-102.284907,2026-05-27,22722.478576137113,3.4732654471011615,0,0,0,0,0,15.0530151356063,1
AGS-0085,curated_fallback,Casa en Morelos,casa,venta,5124000.0,228.5,374.9,5,5.0,3.0,6.0,Morelos,Aguascalientes,Aguascalientes,21.857042,-102.281013,2026-05-27,22424.507658643324,2.961819006564841,0,0,0,0,0,15.449446137158773,0
AGS-0086,curated_fallback,Casa en Bosques del Prado,casa,venta,5196000.0,183.3,243.6,5,5.0,2.0,38.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.917565,-102.30651,2026-05-27,28346.97217675941,4.2640270568347045,1,2,1,0,1,15.463399849228344,0
AGS-0087,curated_fallback,Departamento en Morelos,departamento,venta,3403000.0,173.0,173.0,5,4.0,3.0,15.0,Morelos,Aguascalientes,Aguascalientes,21.855602,-102.284961,2026-05-27,19670.52023121387,2.9925616222301157,0,0,0,0,0,15.04016824734136,0
AGS-0088,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,3213000.0,122.8,172.9,4,3.0,2.0,10.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.926068,-102.311073,2026-05-27,26164.495114006517,5.316561391087867,1,1,0,0,1,14.982715949333553,0
AGS-0089,curated_fallback,Casa en Rancho Santa Monica,casa,venta,3002000.0,123.3,195.0,3,2.0,1.0,15.0,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.841529,-102.331683,2026-05-27,24347.12084347121,6.096106288913954,0,2,1,0,1,14.914789624286747,0
AGS-0090,curated_fallback,Departamento en Pulgas Pandas,departamento,venta,2482000.0,98.7,98.7,3,3.0,2.0,16.0,Pulgas Pandas,Aguascalientes,Aguascalientes,21.913431,-102.325626,2026-05-27,25146.90982776089,4.969372677669243,1,1,0,0,0,14.724575647647494,0
AGS-0092,curated_fallback,Casa en Rancho Santa Monica,casa,venta,3001000.0,120.6,176.3,3,2.0,2.0,5.0,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.837497,-102.32957,2026-05-27,24883.91376451078,6.29466104113474,0,1,0,0,1,14.914456457644707,0
AGS-0093,curated_fallback,Casa en Ojocaliente,casa,venta,2058000.0,91.3,125.6,3,2.0,2.0,1.0,Ojocaliente,Aguascalientes,Aguascalientes,21.865907,-102.264256,2026-05-27,22541.073384446878,3.3293526526180233,0,0,0,0,0,14.537245681284663,1
AGS-0094,curated_fallback,Casa en Bosques del Prado,casa,venta,2945000.0,99.3,155.5,3,2.0,2.0,14.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.923319,-102.303617,2026-05-27,29657.603222557907,4.780271205187181,0,0,0,0,0,14.89561971462634,0
AGS-0095,curated_fallback,Casa En Condominio en Trojes de Alonso,casa en condominio,venta,2904000.0,93.3,127.0,3,2.0,2.0,2.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.932894,-102.304278,2026-05-27,31125.40192926045,5.830001291078828,0,0,0,0,0,14.881599999279382,1
AGS-0096,curated_fallback,Casa en Morelos,casa,venta,1473000.0,72.2,113.8,3,2.0,1.0,34.0,Morelos,Aguascalientes,Aguascalientes,21.86998,-102.284516,2026-05-27,20401.662049861494,1.5039236298460046,0,0,0,0,0,14.202812374331163,0
AGS-0097,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,3173000.0,130.8,195.0,3,2.0,2.0,1.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.923303,-102.319857,2026-05-27,24258.40978593272,5.458584892566155,0,1,0,0,1,14.970188385724438,1
AGS-0098,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,3192000.0,133.0,134.4,4,2.0,2.0,2.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.9106,-102.318987,2026-05-27,24000.0,4.270776409186658,0,1,0,0,0,14.976158550834995,1
AGS-0099,curated_fallback,Casa En Condominio en Morelos,casa en condominio,venta,3237000.0,164.8,245.7,4,2.0,2.0,1.0,Morelos,Aguascalientes,Aguascalientes,21.859419,-102.298727,2026-05-27,19641.990291262133,2.595049560000175,0,0,0,0,0,14.990157841836353,1
AGS-0100,curated_fallback,Departamento en Rancho Santa Monica,departamento,venta,3020000.0,111.1,111.1,3,2.0,2.0,29.0,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.824867,-102.323335,2026-05-27,27182.718271827183,7.12770305247034,0,0,0,0,0,14.920767720476825,0
