property_id,source,title,property_type,operation,price_mxn,built_area_m2,land_area_m2,bedrooms,bathrooms,parking_spaces,age_years,neighborhood,municipality,state,latitude,longitude,listing_date
AGS-0011,curated_fallback,Casa en Morelos,casa,venta,2727000.0,131.3,118.5,4,3.0,3.0,14.0,Morelos,Aguascalientes,Aguascalientes,21.861154,-102.298872,2026-05-27
AGS-0012,curated_fallback,Casa en Morelos,casa,venta,3116000.0,161.7,169.7,4,2.0,3.0,26.0,Morelos,Aguascalientes,Aguascalientes,21.86937,-102.289021,2026-05-27
AGS-0013,curated_fallback,Casa En Condominio en Bosques del Prado,casa en condominio,venta,6399000.0,195.4,220.9,5,5.0,,1.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.91412,-102.310616,2026-05-27
AGS-0014,curated_fallback,Casa en Trojes de Alonso,casa,venta,2581000.0,83.3,104.6,3,2.0,2.0,6.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.928236,-102.298214,2026-05-27
AGS-0015,curated_fallback,Departamento en Jardines de la Concepcion,departamento,venta,1418000.0,45.0,45.0,2,2.0,1.0,3.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.909281,-102.323579,2026-05-27
AGS-0016,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,3187000.0,175.2,167.0,5,3.0,3.0,20.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.920417,-102.24924,2026-05-27
AGS-0017,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,3156000.0,123.5,164.5,3,2.0,2.0,1.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.92118,-102.316914,2026-05-27
AGS-0018,curated_fallback,Casa en San Cayetano,casa,venta,1207000.0,52.3,72.7,2,1.0,1.0,16.0,San Cayetano,Aguascalientes,Aguascalientes,21.887185,-102.288168,2026-05-27
AGS-0019,curated_fallback,Casa en Trojes de Alonso,casa,venta,4349000.0,132.3,210.7,4,4.0,2.0,1.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.943986,-102.292279,2026-05-27
AGS-0020,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,4704000.0,169.3,214.1,4,3.0,2.0,5.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.927706,-102.318696,2026-05-27
AGS-0021,curated_fallback,Casa en Rancho Santa Monica,casa,venta,2475000.0,115.6,172.0,3,2.0,1.0,,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.82517,-102.324285,2026-05-27
AGS-0022,curated_fallback,Casa en Canteras de San Javier,casa,venta,1944000.0,73.8,98.7,2,2.0,1.0,32.0,Canteras de San Javier,Aguascalientes,Aguascalientes,21.895602,-102.353284,2026-05-27
AGS-0023,curated_fallback,Casa En Condominio en Morelos,casa en condominio,venta,1218000.0,55.6,73.9,2,1.0,0.0,11.0,Morelos,Aguascalientes,Aguascalientes,21.862305,-102.294673,2026-05-27
AGS-0024,curated_fallback,Departamento en Morelos,departamento,venta,2612000.0,138.9,138.9,4,3.0,2.0,4.0,Morelos,Aguascalientes,Aguascalientes,21.857324,-102.285963,2026-05-27
AGS-0025,curated_fallback,Casa en Rancho Santa Monica,casa,venta,2796000.0,120.2,156.7,3,2.0,2.0,1.0,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.828886,-102.3333,2026-05-27
AGS-0026,curated_fallback,Departamento en Ojocaliente,departamento,venta,1731000.0,74.6,74.6,3,3.0,1.0,0.0,Ojocaliente,Aguascalientes,Aguascalientes,21.881342,-102.259012,2026-05-27
AGS-0027,curated_fallback,Casa en Trojes de Alonso,casa,venta,4829000.0,191.2,194.4,5,3.0,2.0,12.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.941058,-102.298892,2026-05-27
AGS-0028,curated_fallback,Casa en Centro,casa,venta,2424000.0,93.8,114.2,3,2.0,2.0,10.0,Centro,Aguascalientes,Aguascalientes,21.878939,-102.286775,2026-05-27
AGS-0029,curated_fallback,Casa en La Rioja,casa,venta,4927000.0,215.2,305.2,5,3.0,3.0,8.0,La Rioja,Aguascalientes,Aguascalientes,21.843596,-102.353163,2026-05-27
AGS-0030,curated_fallback,Casa En Condominio en Centro,casa en condominio,venta,5048000.0,203.4,215.1,5,3.0,3.0,22.0,Centro,Aguascalientes,Aguascalientes,21.881828,-102.289187,2026-05-27
AGS-0031,curated_fallback,Casa En Condominio en Jardines de la Concepcion,casa en condominio,venta,6924000.0,213.8,333.7,5,4.0,3.0,27.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.924045,-102.306719,2026-05-27
AGS-0032,curated_fallback,Casa en Pulgas Pandas,casa,venta,3484000.0,126.6,180.5,3,2.0,2.0,2.0,Pulgas Pandas,Aguascalientes,Aguascalientes,21.916869,-102.325407,2026-05-27
AGS-0033,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,2944000.0,115.3,127.9,3,3.0,2.0,7.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.92159,-102.307127,2026-05-27
AGS-0034,curated_fallback,Casa en Centro,casa,venta,2590000.0,102.2,166.4,3,3.0,1.0,1.0,Centro,Aguascalientes,Aguascalientes,21.882391,-102.287029,2026-05-27
AGS-0035,curated_fallback,Casa En Condominio en Villas de Nuestra Senora,casa en condominio,venta,4133000.0,205.3,214.0,5,4.0,3.0,16.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.932737,-102.235195,2026-05-27
AGS-0036,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,4782000.0,197.8,188.4,5,3.0,2.0,19.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.922395,-102.317994,2026-05-27
AGS-0037,curated_fallback,Casa en La Rioja,casa,venta,3256000.0,120.6,125.9,4,3.0,2.0,2.0,La Rioja,Aguascalientes,Aguascalientes,21.846382,-102.345878,2026-05-27
AGS-0038,curated_fallback,Casa en Pulgas Pandas,casa,venta,2585000.0,87.5,107.0,3,2.0,1.0,6.0,Pulgas Pandas,Aguascalientes,Aguascalientes,21.902774,-102.322936,2026-05-27
AGS-0039,curated_fallback,Casa en San Cayetano,casa,venta,3517000.0,181.6,249.6,5,4.0,3.0,11.0,San Cayetano,Aguascalientes,Aguascalientes,21.889493,-102.288017,2026-05-27
AGS-0040,curated_fallback,Casa En Condominio en Jardines de la Concepcion,casa en condominio,venta,4874000.0,163.7,222.4,5,4.0,3.0,9.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.922367,-102.31632,2026-05-27
AGS-0041,curated_fallback,Casa en Trojes de Alonso,casa,venta,5457000.0,208.0,307.3,5,4.0,2.0,32.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.934359,-102.307996,2026-05-27
AGS-0042,curated_fallback,Casa en Bosques del Prado,casa,venta,4198000.0,140.4,210.8,4,4.0,2.0,30.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.922229,-102.299747,2026-05-27
AGS-0043,curated_fallback,Casa en Ojocaliente,casa,venta,3300000.0,176.0,179.5,5,4.0,3.0,18.0,Ojocaliente,Aguascalientes,Aguascalientes,21.870546,-102.249447,2026-05-27
AGS-0044,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,3077000.0,112.8,108.1,3,2.0,1.0,8.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.910767,-102.319375,2026-05-27
AGS-0045,curated_fallback,Casa en San Cayetano,casa,venta,2561000.0,105.6,132.0,3,3.0,1.0,15.0,San Cayetano,Aguascalientes,Aguascalientes,21.903921,-102.291609,2026-05-27
AGS-0046,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,2707000.0,157.2,142.2,4,3.0,3.0,31.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.92738,-102.23905,2026-05-27
AGS-0047,curated_fallback,Casa En Condominio en Villas de Nuestra Senora,casa en condominio,venta,2313000.0,104.6,132.2,3,2.0,2.0,13.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.93581,-102.235609,2026-05-27
AGS-0048,curated_fallback,Casa en Ojocaliente,casa,venta,2559000.0,140.5,167.9,4,2.0,2.0,1.0,Ojocaliente,Aguascalientes,Aguascalientes,21.874234,-102.263994,2026-05-27
AGS-0049,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,2765000.0,92.8,102.9,3,2.0,2.0,6.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.92298,-102.322958,2026-05-27
AGS-0050,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,5125000.0,211.7,314.6,5,4.0,4.0,2.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.908408,-102.320952,2026-05-27
AGS-0051,curated_fallback,Casa en Morelos,casa,venta,3513000.0,182.5,199.3,5,4.0,3.0,13.0,Morelos,Aguascalientes,Aguascalientes,21.866556,-102.297725,2026-05-27
AGS-0052,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,2422000.0,122.9,139.3,4,4.0,2.0,13.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.92052,-102.240188,2026-05-27
AGS-0053,curated_fallback,Departamento en Bosques del Prado,departamento,venta,1641000.0,61.7,61.7,2,2.0,1.0,0.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.915055,-102.29877,2026-05-27
AGS-0054,curated_fallback,Casa en Morelos,casa,venta,3981000.0,198.5,305.1,5,3.0,3.0,10.0,Morelos,Aguascalientes,Aguascalientes,21.867574,-102.286854,2026-05-27
AGS-0055,curated_fallback,Casa en San Cayetano,casa,venta,2582000.0,104.0,165.3,3,2.0,2.0,9.0,San Cayetano,Aguascalientes,Aguascalientes,21.891446,-102.28709,2026-05-27
AGS-0056,curated_fallback,Casa En Condominio en Pulgas Pandas,casa en condominio,venta,2453000.0,90.9,98.4,3,2.0,1.0,0.0,Pulgas Pandas,Aguascalientes,Aguascalientes,21.915519,-102.328763,2026-05-27
AGS-0057,curated_fallback,Casa en Pulgas Pandas,casa,venta,4945000.0,185.7,205.6,4,4.0,2.0,13.0,Pulgas Pandas,Aguascalientes,Aguascalientes,21.908272,-102.317237,2026-05-27
AGS-0058,curated_fallback,Departamento en Morelos,departamento,venta,978000.0,45.0,45.0,2,1.0,1.0,5.0,Morelos,Aguascalientes,Aguascalientes,21.855866,-102.287721,2026-05-27
AGS-0059,curated_fallback,Casa en Ojocaliente,casa,venta,1568000.0,76.0,87.2,3,2.0,1.0,1.0,Ojocaliente,Aguascalientes,Aguascalientes,21.868852,-102.262609,2026-05-27
AGS-0060,curated_fallback,Casa en San Cayetano,casa,venta,3254000.0,169.4,179.9,4,3.0,3.0,7.0,San Cayetano,Aguascalientes,Aguascalientes,21.89066,-102.289989,2026-05-27
AGS-0061,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,2707000.0,116.7,116.2,3,2.0,1.0,29.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.920757,-102.308944,2026-05-27
AGS-0062,curated_fallback,Casa en Centro,casa,venta,4781000.0,200.4,250.9,5,3.0,2.0,28.0,Centro,Aguascalientes,Aguascalientes,21.883255,-102.285158,2026-05-27
AGS-0063,curated_fallback,Casa en Bosques del Prado,casa,venta,3697000.0,128.6,194.0,4,2.0,2.0,8.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.912723,-102.300077,2026-05-27
AGS-0064,curated_fallback,Casa en Ojocaliente,casa,venta,1990000.0,115.8,183.1,3,2.0,2.0,8.0,Ojocaliente,Aguascalientes,Aguascalientes,21.866205,-102.245798,2026-05-27
AGS-0065,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,3354000.0,136.4,147.3,4,2.0,2.0,12.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.917398,-102.323347,2026-05-27
AGS-0066,curated_fallback,Departamento en Pulgas Pandas,departamento,venta,3015000.0,99.2,99.2,3,2.0,2.0,16.0,Pulgas Pandas,Aguascalientes,Aguascalientes,21.911001,-102.319176,2026-05-27
AGS-0067,curated_fallback,Casa en La Rioja,casa,venta,3273000.0,141.8,155.8,3,2.0,2.0,9.0,La Rioja,Aguascalientes,Aguascalientes,21.851485,-102.335576,2026-05-27
AGS-0068,curated_fallback,Departamento en Rancho Santa Monica,departamento,venta,2644000.0,105.6,105.6,3,3.0,2.0,7.0,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.825609,-102.338203,2026-05-27
AGS-0069,curated_fallback,Casa en Canteras de San Javier,casa,venta,4638000.0,167.9,236.0,5,4.0,2.0,14.0,Canteras de San Javier,Aguascalientes,Aguascalientes,21.910428,-102.345475,2026-05-27
AGS-0070,curated_fallback,Casa en Trojes de Alonso,casa,venta,3828000.0,142.9,198.4,4,2.0,2.0,10.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.933835,-102.307175,2026-05-27
AGS-0071,curated_fallback,Casa en Canteras de San Javier,casa,venta,3649000.0,157.7,190.6,4,3.0,2.0,14.0,Canteras de San Javier,Aguascalientes,Aguascalientes,21.894734,-102.355239,2026-05-27
AGS-0072,curated_fallback,Casa En Condominio en Bosques del Prado,casa en condominio,venta,4578000.0,153.2,184.3,4,4.0,2.0,8.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.912665,-102.308248,2026-05-27
AGS-0073,curated_fallback,Casa en Rancho Santa Monica,casa,venta,3221000.0,139.8,183.4,4,3.0,2.0,1.0,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.843463,-102.326823,2026-05-27
AGS-0074,curated_fallback,Casa en Trojes de Alonso,casa,venta,2701000.0,109.7,99.9,3,2.0,2.0,1.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.942941,-102.296046,2026-05-27
AGS-0075,curated_fallback,Casa en San Cayetano,casa,venta,2382000.0,126.0,159.0,3,2.0,1.0,2.0,San Cayetano,Aguascalientes,Aguascalientes,21.896988,-102.277074,2026-05-27
AGS-0076,curated_fallback,Casa en Bosques del Prado,casa,venta,2851000.0,96.2,143.5,3,3.0,2.0,17.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.910057,-102.306029,2026-05-27
AGS-0077,curated_fallback,Casa en Morelos,casa,venta,3362000.0,169.1,195.9,4,3.0,2.0,4.0,Morelos,Aguascalientes,Aguascalientes,21.854773,-102.28705,2026-05-27
AGS-0078,curated_fallback,Departamento en Jardines de la Concepcion,departamento,venta,3665000.0,124.0,124.0,3,2.0,2.0,24.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.915625,-102.304232,2026-05-27
AGS-0079,curated_fallback,Casa En Condominio en Morelos,casa en condominio,venta,3185000.0,126.5,161.5,4,4.0,2.0,6.0,Morelos,Aguascalientes,Aguascalientes,21.861519,-102.291861,2026-05-27
AGS-0080,curated_fallback,Casa En Condominio en La Rioja,casa en condominio,venta,3627000.0,138.3,225.1,3,3.0,2.0,10.0,La Rioja,Aguascalientes,Aguascalientes,21.84295,-102.352394,2026-05-27
AGS-0081,curated_fallback,Departamento en Morelos,departamento,venta,1391000.0,55.3,55.3,2,2.0,2.0,0.0,Morelos,Aguascalientes,Aguascalientes,21.852368,-102.288377,2026-05-27
AGS-0082,curated_fallback,Departamento en Jardines de la Concepcion,departamento,venta,3297000.0,107.1,107.1,3,2.0,2.0,21.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.916874,-102.31012,2026-05-27
AGS-0083,curated_fallback,Casa en Centro,casa,venta,4150000.0,175.1,214.2,4,3.0,3.0,2.0,Centro,Aguascalientes,Aguascalientes,21.877201,-102.28941,2026-05-27
AGS-0084,curated_fallback,Casa en Morelos,casa,venta,3447000.0,151.7,240.3,4,3.0,2.0,3.0,Morelos,Aguascalientes,Aguascalientes,21.851188,-102.284907,2026-05-27
AGS-0085,curated_fallback,Casa en Morelos,casa,venta,5124000.0,228.5,374.9,5,5.0,3.0,6.0,Morelos,Aguascalientes,Aguascalientes,21.857042,-102.281013,2026-05-27
AGS-0086,curated_fallback,Casa en Bosques del Prado,casa,venta,5196000.0,183.3,243.6,5,5.0,2.0,38.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.917565,-102.30651,2026-05-27
AGS-0087,curated_fallback,Departamento en Morelos,departamento,venta,3403000.0,173.0,173.0,5,4.0,3.0,15.0,Morelos,Aguascalientes,Aguascalientes,21.855602,-102.284961,2026-05-27
AGS-0088,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,3213000.0,122.8,172.9,4,3.0,2.0,10.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.926068,-102.311073,2026-05-27
AGS-0089,curated_fallback,Casa en Rancho Santa Monica,casa,venta,3002000.0,123.3,195.0,3,2.0,1.0,15.0,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.841529,-102.331683,2026-05-27
AGS-0090,curated_fallback,Departamento en Pulgas Pandas,departamento,venta,2482000.0,98.7,98.7,3,3.0,2.0,16.0,Pulgas Pandas,Aguascalientes,Aguascalientes,21.913431,-102.325626,2026-05-27
AGS-0091,curated_fallback,Casa en Bosques del Prado,casa,venta,6037000.0,219.5,316.7,5,5.0,3.0,5.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.920214,-102.311722,2026-05-27
AGS-0092,curated_fallback,Casa en Rancho Santa Monica,casa,venta,3001000.0,120.6,176.3,3,2.0,2.0,5.0,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.837497,-102.32957,2026-05-27
AGS-0093,curated_fallback,Casa en Ojocaliente,casa,venta,2058000.0,91.3,125.6,3,2.0,2.0,1.0,Ojocaliente,Aguascalientes,Aguascalientes,21.865907,-102.264256,2026-05-27
AGS-0094,curated_fallback,Casa en Bosques del Prado,casa,venta,2945000.0,99.3,155.5,3,2.0,2.0,14.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.923319,-102.303617,2026-05-27
AGS-0095,curated_fallback,Casa En Condominio en Trojes de Alonso,casa en condominio,venta,2904000.0,93.3,127.0,3,2.0,2.0,2.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.932894,-102.304278,2026-05-27
AGS-0096,curated_fallback,Casa en Morelos,casa,venta,1473000.0,72.2,113.8,3,2.0,1.0,34.0,Morelos,Aguascalientes,Aguascalientes,21.86998,-102.284516,2026-05-27
AGS-0097,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,3173000.0,130.8,195.0,3,2.0,2.0,1.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.923303,-102.319857,2026-05-27
AGS-0098,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,3192000.0,133.0,134.4,4,2.0,2.0,2.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.9106,-102.318987,2026-05-27
AGS-0099,curated_fallback,Casa En Condominio en Morelos,casa en condominio,venta,3237000.0,164.8,245.7,4,2.0,2.0,1.0,Morelos,Aguascalientes,Aguascalientes,21.859419,-102.298727,2026-05-27
AGS-0100,curated_fallback,Departamento en Rancho Santa Monica,departamento,venta,3020000.0,111.1,111.1,3,2.0,2.0,29.0,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.824867,-102.323335,2026-05-27
AGS-0101,curated_fallback,Casa en Ojocaliente,casa,venta,2524000.0,131.4,216.7,4,3.0,1.0,12.0,Ojocaliente,Aguascalientes,Aguascalientes,21.873871,-102.247015,2026-05-27
AGS-0102,curated_fallback,Casa en Trojes de Alonso,casa,venta,3767000.0,129.7,143.5,4,3.0,2.0,52.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.934611,-102.299926,2026-05-27
AGS-0103,curated_fallback,Departamento en Bosques del Prado,departamento,venta,4017000.0,128.1,128.1,4,3.0,2.0,6.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.922162,-102.303724,2026-05-27
AGS-0104,curated_fallback,Casa en La Rioja,casa,venta,4658000.0,178.3,173.2,5,4.0,2.0,2.0,La Rioja,Aguascalientes,Aguascalientes,21.85346,-102.352657,2026-05-27
AGS-0105,curated_fallback,Casa en Bosques del Prado,casa,venta,4056000.0,136.6,136.3,3,3.0,2.0,11.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.912616,-102.294528,2026-05-27
AGS-0106,curated_fallback,Casa En Condominio en La Rioja,casa en condominio,venta,2533000.0,97.5,140.4,3,2.0,1.0,9.0,La Rioja,Aguascalientes,Aguascalientes,21.839255,-102.340865,2026-05-27
AGS-0107,curated_fallback,Casa en Bosques del Prado,casa,venta,3205000.0,118.5,131.4,3,2.0,2.0,15.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.916834,-102.2985,2026-05-27
AGS-0108,curated_fallback,Casa En Condominio en Villas de Nuestra Senora,casa en condominio,venta,2832000.0,130.8,199.1,3,2.0,2.0,4.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.925796,-102.253878,2026-05-27
AGS-0109,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,3546000.0,200.5,326.7,5,4.0,3.0,6.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.922148,-102.247767,2026-05-27
AGS-0110,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,3105000.0,167.2,261.3,4,3.0,2.0,1.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.927862,-102.24552,2026-05-27
AGS-0111,curated_fallback,Casa en La Rioja,casa,venta,3470000.0,138.6,169.5,4,3.0,2.0,11.0,La Rioja,Aguascalientes,Aguascalientes,21.835908,-102.346095,2026-05-27
AGS-0112,curated_fallback,Casa en Centro,casa,venta,2841000.0,117.4,188.8,4,3.0,1.0,1.0,Centro,Aguascalientes,Aguascalientes,21.883648,-102.292987,2026-05-27
AGS-0113,curated_fallback,Departamento en Ojocaliente,departamento,venta,1037000.0,45.0,45.0,2,1.0,1.0,0.0,Ojocaliente,Aguascalientes,Aguascalientes,21.865375,-102.246577,2026-05-27
AGS-0114,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,2465000.0,137.9,165.9,4,3.0,2.0,34.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.922437,-102.235048,2026-05-27
AGS-0115,curated_fallback,Casa En Condominio en San Cayetano,casa en condominio,venta,4445000.0,206.9,224.0,5,4.0,3.0,4.0,San Cayetano,Aguascalientes,Aguascalientes,21.89179,-102.285339,2026-05-27
AGS-0116,curated_fallback,Casa en Ojocaliente,casa,venta,3015000.0,180.6,234.4,4,3.0,2.0,32.0,Ojocaliente,Aguascalientes,Aguascalientes,21.877909,-102.262046,2026-05-27
AGS-0117,curated_fallback,Casa en Pulgas Pandas,casa,venta,2357000.0,81.2,113.0,2,2.0,1.0,14.0,Pulgas Pandas,Aguascalientes,Aguascalientes,21.913698,-102.323422,2026-05-27
AGS-0118,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,2029000.0,95.4,156.5,3,3.0,1.0,6.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.928378,-102.241372,2026-05-27
AGS-0119,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,1900000.0,101.8,126.2,3,3.0,1.0,20.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.936106,-102.2417,2026-05-27
AGS-0120,curated_fallback,Casa en Rancho Santa Monica,casa,venta,3341000.0,136.3,220.3,4,2.0,3.0,8.0,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.827765,-102.3269,2026-05-27
AGS-0121,curated_fallback,Casa en Centro,casa,venta,4342000.0,167.9,274.8,4,3.0,2.0,12.0,Centro,Aguascalientes,Aguascalientes,21.89352,-102.291119,2026-05-27
AGS-0122,curated_fallback,Casa en Canteras de San Javier,casa,venta,1411000.0,63.8,70.9,2,1.0,1.0,16.0,Canteras de San Javier,Aguascalientes,Aguascalientes,21.906946,-102.355682,2026-05-27
AGS-0123,curated_fallback,Casa en Morelos,casa,venta,2978000.0,137.0,222.3,4,2.0,1.0,11.0,Morelos,Aguascalientes,Aguascalientes,21.869335,-102.294795,2026-05-27
AGS-0124,curated_fallback,Casa en Morelos,casa,venta,4710000.0,220.0,296.2,5,3.0,3.0,16.0,Morelos,Aguascalientes,Aguascalientes,21.867264,-102.287598,2026-05-27
AGS-0125,curated_fallback,Casa En Condominio en San Cayetano,casa en condominio,venta,3350000.0,153.9,215.8,4,2.0,2.0,30.0,San Cayetano,Aguascalientes,Aguascalientes,21.891835,-102.276677,2026-05-27
AGS-0126,curated_fallback,Casa en Trojes de Alonso,casa,venta,3991000.0,128.3,143.9,4,3.0,2.0,13.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.934531,-102.295761,2026-05-27
AGS-0127,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,2157000.0,120.1,183.0,4,3.0,1.0,6.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.927217,-102.240473,2026-05-27
AGS-0128,curated_fallback,Casa en Rancho Santa Monica,casa,venta,3521000.0,155.5,227.7,4,3.0,2.0,34.0,Rancho Santa Monica,Aguascalientes,Aguascalientes,21.839687,-102.320921,2026-05-27
AGS-0129,curated_fallback,Casa En Condominio en Morelos,casa en condominio,venta,3889000.0,184.5,205.1,5,4.0,3.0,17.0,Morelos,Aguascalientes,Aguascalientes,21.867025,-102.298232,2026-05-27
AGS-0130,curated_fallback,Casa en Morelos,casa,venta,2685000.0,133.4,157.2,4,3.0,2.0,1.0,Morelos,Aguascalientes,Aguascalientes,21.852678,-102.297794,2026-05-27
AGS-0131,curated_fallback,Casa en Ojocaliente,casa,venta,1037000.0,45.0,48.0,2,1.0,0.0,1.0,Ojocaliente,Aguascalientes,Aguascalientes,21.87504,-102.260284,2026-05-27
